guerreiro	idle	0,7
guerreiro	walk	8,15
guerreiro	attack	16,23
guerreiro	gather	24,31
guerreiro	hurt	32,39
guerreiro	death	40,46
guerreiro	jump	47,54
mago	idle	0,7
mago	walk	8,15
mago	attack	16,23
mago	gather	24,31
mago	hurt	32,39
mago	death	40,46
mago	jump	47,54
mago	cast	55,62
slime	idle	0,7
slime	attack	8,15
slime	death	16,23
slime	hurt	24,31
magia	spark	0,3
magia	lightning	4,7
agua	idle	0,3
terreno	idle	0,1
madeira	idle	0,0
icones	idle	0,3
cenario	idle	0,0
sentinela	idle	0,7
sentinela	windup	8,15
sentinela	attack	16,23
sentinela	recovery	24,31
sentinela	hurt	32,39
sentinela	death	40,47
guardiao	idle	0,7
guardiao	windup	8,15
guardiao	attack	16,23
guardiao	recovery	24,31
guardiao	hurt	32,39
guardiao	death	40,47
mina	idle	0,0
ruinas	idle	0,0
minerio	idle	0,0
cristal	idle	0,0
passagem-mina	idle	0,0
passagem-observatorio	idle	0,0
abrigo	idle	0,0
oficina	idle	0,0
arsenal	idle	0,0
observatorio	idle	0,0
